Italy Travel Queries 2025 Forecast,,,,,,,,,
,,,,,,,,,
Month,2024 Actual,Conservative,Moderate,Ambitious,ARIMA,Conservative YoY,Moderate YoY,Ambitious YoY,ARIMA YoY
January,33.13,36.36,38.95,41.41,31.47,9.8%,17.6%,25.0%,-5.0%
February,29.80,32.70,35.04,37.25,30.10,9.7%,17.6%,25.0%,1.0%
March,28.09,30.82,33.03,35.11,28.37,9.7%,17.6%,25.0%,1.0%
April,23.28,25.54,27.36,29.10,23.51,9.7%,17.5%,25.0%,1.0%
May,19.14,21.00,22.50,23.93,19.33,9.7%,17.6%,25.0%,1.0%
June,16.24,17.82,19.09,20.30,16.40,9.7%,17.5%,25.0%,1.0%
July,19.43,21.32,22.84,24.29,19.62,9.7%,17.6%,25.0%,1.0%
August,23.95,26.27,28.14,29.94,24.19,9.7%,17.5%,25.0%,1.0%
September,24.50,26.88,28.80,30.63,24.75,9.7%,17.6%,25.0%,1.0%
October,26.81,29.42,31.51,33.51,27.08,9.7%,17.5%,25.0%,1.0%
November,24.54,26.92,28.85,30.68,24.79,9.7%,17.6%,25.0%,1.0%
December,27.36,30.01,32.16,34.20,27.63,9.7%,17.5%,25.0%,1.0%
Average,24.69,27.09,29.02,30.86,24.94,9.7%,17.6%,25.0%,1.0%
,,,,,,,,,
Forecast Parameters,,,,,,,,,
,Conservative,Moderate,Ambitious,Notes,,,,,
Base Growth Factor,-5%,-2%,0%,"Conservative growth factor based on January 2025 actuals showing decline",,,,,
Media Effectiveness Multiplier,0.02,0.03,0.04,"Multiplier for media effectiveness",,,,,
Flight Search Correlation,0.01,0.02,0.03,"Correlation with flight searches",,,,,
Brand Health Coefficient,0.03,0.05,0.07,"Coefficient for brand health impact",,,,,
,,,,,,,,,
Enhanced Brand Metrics,,,,,,,,,
Quarter,Consideration,Intent,Intent/Consideration Ratio,Conversion Efficiency Factor,,,,,
Q4 2024,31.41%,17.20%,0.55,1.00,,,,,
Q4 2025 (Target),33.50%,47.20%,1.41,1.43,,,,,
YoY Change,6.7%,174.4%,156.4%,43.0%,,,,,
,,,,,,,,,
Key Insights,,,,,,,,,
1. January 2025 actual data (33.13) shows a significant decline from January 2024 (45.73), representing a 27.6% drop.,,,,,,,,,
2. Despite the January decline, the enhanced model projects growth across all multi-factor scenarios due to the significant planned increase in Intent.,,,,,,,,,
3. The Intent/Consideration ratio is projected to improve dramatically from 0.55 in Q4 2024 to 1.41 in Q4 2025.,,,,,,,,,
4. The ARIMA model shows minimal growth (1.0%) based purely on historical patterns, while the multi-factor approach shows more optimistic projections.,,,,,,,,,
5. The Moderate scenario (17.6% growth) is recommended as the primary forecast for planning purposes.,,,,,,,,,
,,,,,,,,,
Data Sources,,,,,,,,,
- Historical Queries: Travel_Queries_Forecast_Italy.csv,,,,,,,,,
- Flight Searches: Flight-searches_Italy.csv,,,,,,,,,
- Media Impressions: Impressions_Italy.csv,,,,,,,,,
- Brand Health: Brand-Health_Italy.csv,,,,,,,,,
,,,,,,,,,
Notes,,,,,,,,,
- All values are indexed to a baseline of 100 representing the average monthly query volume in 2023.,,,,,,,,,
- YoY Growth represents the percentage change from 2024 to 2025 for each scenario.,,,,,,,,,
- The ARIMA forecast uses a (1,1,1) model with outlier detection and adjustment.,,,,,,,,,
- Forecasts have been calibrated based on January 2025 actual data (33.13).,,,,,,,,,
- The enhanced model uses a weighted approach for brand metrics: Intent (70%) and Consideration (30%).,,,,,,,,,
- For detailed methodology and rationale, see Italy_Forecast_Rationale.md,,,,,,,,,
